Rank,Country,January ,February,March,April,May,June,July,August,Total
1,Afghanistan,6,15,2,21,10,2,1,3,60
2,Albania,17,33,10,14,13,3,8,30,128
3,Algeria,26,43,19,20,31,37,23,54,253
4,Andorra,10,7,6,33,6,9,17,22,110
5,Angola,0,3,1,2,0,0,4,3,13
6,Antigua and Barbuda,3,3,0,3,3,1,5,0,18
7,Argentina,164,79,101,62,60,56,45,54,621
8,Armenia,261,195,224,124,74,71,161,123,1233
9,Australia,9563,8778,9012,10744,5929,7299,9117,7833,68275
10,Austria,2492,2640,1756,1087,483,487,1846,1425,12216
11,Azerbaijan,149,86,267,64,54,78,91,133,922
12,Bahamas,0,5,2,1,1,1,1,5,16
13,Bahrain,159,49,52,77,54,230,232,134,987
14,Bangladesh,4626,5262,4713,5428,7282,5826,3274,4074,40485
15,Barbados,3,1,4,1,1,2,0,2,14
16,Belarus,2050,1455,1257,436,148,86,137,181,5750
17,Belgium,1739,1994,1609,1623,664,1135,4511,2047,15322
18,Belize,0,0,3,2,3,1,4,3,16
19,Benin,0,0,4,3,1,1,0,6,15
20,Bhutan,92,39,22,72,55,49,44,44,417
21,Bolivia,0,3,2,1,2,3,5,2,18
22,Bosnia and Herzegovina,37,46,34,67,20,20,10,14,248
23,Botswana,7,1,1,4,8,3,2,2,28
24,Brazil,234,177,213,178,132,119,124,134,1311
25,Brunei Darussalam,12,1,2,6,17,1,17,6,62
26,Bulgaria,634,838,748,288,88,51,52,57,2756
27,Burkina Faso,2,1,1,0,3,2,2,0,11
28,Burundi,2,0,0,0,0,1,0,0,3
29,Cambodia,26,132,125,551,28,63,46,37,1008
30,Cameroon,2,1,2,1,2,1,1,1,11
31,Canada,4458,4550,4219,3238,3412,4239,5462,4333,33911
32,Cape Verde,0,0,3,0,1,2,0,2,8
Rank,Country,January ,February,March,April,May,June,July,August,Total
33,Central African Republic,0,0,2,0,0,0,0,0,2
34,Chad,0,0,0,0,2,7,1,0,10
35,Chile,45,77,86,61,41,23,79,39,451
36,China,16709,11690,11114,8667,8803,8804,12982,12294,91063
37,Republic of Congo,6,0,1,0,2,1,1,0,11
38,Colombia,45,44,84,62,56,43,69,60,463
39,Comoros,3,1,2,4,6,13,15,15,59
40,Democratic Republic of  Congo,0,2,5,1,3,4,1,5,21
41,Costa Rica,9,13,15,9,12,6,8,6,78
42,Cote d'lvoire,1,0,3,0,3,0,1,2,10
43,Croatia,316,360,192,150,32,28,92,157,1327
44,Cuba,3,4,5,2,2,3,2,6,27
45,Cyprus,87,80,105,110,51,38,150,312,933
46,Czech Republic,2754,3370,2266,1227,354,625,1367,874,12837
47,Denmark,2822,2713,1299,1316,500,816,2509,739,12714
48,Djibouti,2,1,0,0,3,0,4,0,10
49,Dominica,7,9,21,12,10,28,7,12,106
50,Dominican Republic,3,1,0,4,8,2,2,2,22
51,Ecuador,6,12,9,11,12,11,12,11,84
52,Egypt,357,469,276,434,298,425,328,274,2861
53,El Salvador,1,2,1,0,3,1,1,4,13
54,Eritrea,2,1,1,0,1,1,1,1,8
55,Equatorial Guinea,0,0,0,0,1,0,0,0,1
56,Estonia,915,934,757,108,28,19,21,16,2798
57,Ethiopia,13,17,27,13,11,15,23,27,146
58,Fiji,29,23,10,20,6,11,19,15,133
59,Finland,808,790,452,236,208,145,150,113,2902
60,France,12619,15469,15278,8276,5470,4345,11059,10495,83011
61,Gabon,0,0,0,0,1,0,0,0,1
62,The Gambia,0,3,0,0,1,3,1,4,12
63,Georgia,170,81,101,30,26,12,18,55,493
64,Germany,15050,17233,17918,11654,7223,5498,10568,12500,97644
65,Ghana,8,4,8,3,3,15,2,9,52
66,Greece,415,395,330,423,140,106,162,844,2815
Rank,Country,January ,February,March,April,May,June,July,August,Total
67,Grenada,0,2,4,1,1,6,9,3,26
68,Guatemala,6,3,5,7,10,6,5,5,47
69,Guinea,2,0,1,2,2,0,1,1,9
70,Guinea-Bissau,3,0,0,0,0,0,0,0,3
71,Guyana,5,5,6,2,3,0,5,0,26
72,Haiti,0,1,1,2,1,0,1,1,7
73,Honduras,1,2,1,1,3,7,0,1,16
74,Hungary,1388,1089,695,421,133,126,265,239,4356
75,Iceland,58,38,18,28,13,28,19,7,209
76,India,43375,35728,39212,38744,47001,37934,37128,46473,325595
77,Indonesia,280,515,313,446,471,376,361,487,3249
78,Iran,886,615,3695,232,354,196,151,485,6614
79,Iraq,131,114,58,89,65,188,114,204,963
80,Ireland,986,1067,1239,953,473,700,873,738,7029
81,Israel,2730,2959,2069,1821,896,573,1966,2403,15417
82,Italy,4778,4115,3524,3633,1333,2174,4886,12247,36690
83,Jamaica,3,5,2,2,3,4,7,5,31
84,Japan,2631,3527,3708,2374,2126,2093,3076,5127,24662
85,Jordan,178,297,329,210,169,286,262,191,1922
86,Kazakhstan,3015,2463,1808,121,207,96,78,60,7848
87,Kenya,42,55,103,79,71,308,84,93,835
88,Kosovo,9,12,3,7,4,1,4,3,43
89,Kuwait,174,204,130,132,106,190,219,232,1387
90,Kyrgyzstan,151,126,75,24,72,23,23,67,561
91,Lao People's Democratic Republic,37,31,17,14,18,28,21,13,179
92,Latvia,844,596,791,96,50,26,40,28,2471
93,Lebanon,145,357,474,353,169,263,248,240,2249
94,Lesotho,1,0,0,2,5,0,0,0,8
95,Liberia,1,4,1,0,0,0,0,0,6
96,Libya,2,5,0,6,5,5,6,9,38
97,Liechtenstein,8,12,6,25,7,7,14,7,86
98,Lithuania,1639,1354,1263,178,102,126,144,117,4923
99,Luxembourg,73,96,68,114,23,18,70,144,606
100,Macedonia,25,8,15,23,19,2,12,13,117
Rank,Country,January ,February,March,April,May,June,July,August,Total
101,Madagascar,15,11,12,14,17,48,19,10,146
102,Malawi,3,4,3,2,4,7,3,6,32
103,Malaysia,2125,1415,2256,1486,1920,1830,1712,2157,14901
104,Maldives,2999,2843,1932,2516,3006,3157,4755,3003,24211
105,Mali,1,0,1,1,4,2,1,1,11
106,Malta,129,130,78,118,18,30,99,151,753
107,Marshall Islands,1,0,0,0,0,0,0,0,1
108,Mauritania,0,0,2,3,3,1,2,0,11
109,Mauritius,49,90,77,82,56,37,81,60,532
110,Mexico,82,118,135,107,88,61,44,73,708
111,Moldova,130,167,73,18,11,9,10,11,429
112,Monaco,4,2,3,0,3,0,4,0,16
113,Mongolia,28,4,12,16,20,11,8,33,132
114,Montenegro,23,11,20,15,5,0,4,2,80
115,Morocco,82,102,65,95,108,84,91,132,759
116,Mozambique,7,6,0,2,2,3,0,1,21
117,Myanmar,97,82,94,166,203,131,392,527,1692
118,Namibia,0,11,2,1,7,0,2,3,26
119,Nauru,0,0,0,0,0,0,0,1,1
120,Nepal,689,374,307,527,403,352,442,583,3677
121,Netherlands,6484,5589,4838,4476,2329,2423,15556,6082,47777
122,New Zealand,997,741,965,1434,840,1084,1106,1044,8211
123,Nicaragua,0,3,6,1,1,2,0,2,15
124,Niger,1,0,0,0,0,1,0,1,3
125,Nigeria,14,4,6,4,14,12,10,12,76
126,Norway,1665,1400,960,878,355,1473,1982,514,9227
127,Oman,156,212,25,183,136,286,518,388,1904
128,Pakistan,1430,1152,736,1156,946,6833,2002,1580,15835
129,Palau,0,0,0,1,0,0,0,0,1
130,Palestinian Territories,18,34,23,72,43,53,102,79,424
131,Panama,2,6,4,1,2,1,1,3,20
132,Papua New Guinea,4,4,12,46,21,4,4,6,101
133,Paraguay,5,2,4,3,4,2,2,3,25
134,Peru,16,24,27,30,20,22,22,28,189
135,Philippines,424,381,585,565,472,745,608,678,4458
Rank,Country,January ,February,March,April,May,June,July,August,Total
136,Poland,7585,8519,5661,2098,1078,1138,3469,3404,32952
137,Portugal,789,699,876,763,312,644,578,648,5309
138,Qatar,33,46,39,107,47,109,159,159,699
139,Romania,888,894,760,456,190,219,231,397,4035
140,Russian Federation,34096,30295,29177,13525,3328,1891,3158,3446,118916
141,Rwanda,6,3,6,6,0,0,1,8,30
142,Saint Kitts and Nevis,15,16,18,6,4,23,4,25,111
143,Saint Lucia,4,3,5,7,1,1,1,2,24
144,Saint Barthelemy,0,0,0,0,0,0,1,0,1
145,Saint Vincent and the Grenadi,1,0,0,0,7,1,0,0,9
146,Samoa,0,0,3,1,0,0,1,0,5
147,San Marino,2,4,3,2,2,5,1,2,21
148,Sao Tome and Principe,0,0,0,0,1,0,0,0,1
149,Saudi Arabia,487,358,201,416,433,660,1068,690,4313
150,Senegal,5,4,2,4,5,7,5,6,38
151,Serbia,392,309,308,227,56,90,100,73,1555
152,Seychelles,397,212,225,365,192,280,190,510,2371
153,Sierra Leone,5,1,6,2,2,0,3,0,19
154,Singapore,1048,1024,1189,1060,1054,1830,1297,1262,9764
155,Slovakia,1117,1209,832,627,212,133,320,346,4796
156,Slovenia,498,684,226,338,55,123,430,217,2571
157,Solomon Islands,0,0,1,0,1,2,1,1,6
158,Somalia,3,4,1,14,9,1,6,14,52
159,South Africa,365,393,669,370,198,344,419,460,3218
160,South Korea ,2149,1471,963,584,544,660,932,808,8111
161,South Sudan,2,1,1,0,0,1,0,0,5
162,Spain,2696,2528,2548,3144,1593,2331,5912,8843,29595
163,Sudan,70,52,22,102,66,113,121,288,834
164,Suriname,0,3,3,4,2,2,1,3,18
165,Swaziland,1,0,1,0,1,0,0,0,3
166,Sweden,2235,2007,1243,696,286,628,689,341,8125
167,Switzerland,3322,3266,2740,3241,1424,1589,4990,2067,22639
168,Syrian Arab Republic,2,0,1,0,0,0,0,0,3
169,Tajikistan,28,21,18,46,35,16,4,6,174
170,Tanzania,10,12,7,13,19,259,29,35,384
Rank,Country,January ,February,March,April,May,June,July,August,Total
171,Thailand,625,719,903,1220,556,597,506,682,5808
172,Timor-Leste,2,8,1,0,1,1,2,2,17
173,Togo,0,0,2,0,0,0,1,3,6
174,Tonga,0,0,0,0,1,1,0,1,3
175,Trinidad and Tobago,8,8,4,2,4,7,14,11,58
176,Tunisia,43,124,70,60,61,71,63,56,548
177,Turkey,1152,728,992,533,384,607,660,606,5662
178,Turkmenistan,21,9,16,13,9,19,14,7,108
179,Uganda,23,14,9,11,21,20,28,17,143
180,Ukraine,1872,1387,1119,411,234,214,279,272,5788
181,United Arab Emirates,191,171,165,502,400,720,862,820,3831
182,United Kingdom,21730,25528,22447,17348,9221,11628,23475,19764,151141
183,United States,7067,6439,7676,4202,3607,5422,5222,4970,44605
184,Uruguay,20,26,33,46,12,12,7,9,165
185,Uzbekistan,140,134,64,47,54,38,60,57,594
186,Vanuatu,7,3,5,3,4,3,1,7,33
187,Vatican City,0,0,0,0,0,0,0,1,1
188,Venezuela,10,15,18,8,13,9,11,12,96
189,Vietnam,257,253,314,778,250,255,266,308,2681
190,Yemen ,56,27,14,38,28,64,70,75,372
191,Zambia,9,9,2,4,10,6,4,8,52
192,Zimbabwe,11,15,10,13,11,26,7,14,107
Total,,252761,240217,229298,174608,132919,138241,200244,198235,1566523
